flow_id,flow_name,step_number,step_name,actor,action,page_route,input,output,next_step,error_case
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),1,프로젝트 생성,사용자,주제 키워드 입력 + 콘텐츠 타입 선택,/projects/new,"키워드: 'AI 트렌드 2026', 타입: 숏폼 9:16",프로젝트 생성 완료,2,키워드 미입력 시 validation 에러
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),2,대본 생성 요청,사용자,"'AI 대본 생성' 버튼 클릭",/projects/:id/script,키워드 + 선호도 설정,AI가 웹 리서치 시작 (로딩 상태),3,API 에러 시 재시도 버튼 노출
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),3,대본 확인/편집,사용자,생성된 대본 검토 + 필요시 수정,/projects/:id/script,AI 생성 대본 (씬 분할됨),품질 체크리스트 점수 확인,4,체크리스트 미충족 시 개선 제안 표시
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),4,스타일 설정,사용자,프리셋 선택 또는 레퍼런스 이미지 업로드,/projects/:id/style,스타일 프리셋 / 이미지,스타일 프리뷰 표시,5,이미지 분석 실패 시 프리셋 사용 유도
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),5,씬 생성,시스템,전체 씬 이미지/영상 병렬 생성,/projects/:id/scenes,대본 + 스타일 + 프롬프트,씬별 2-3개 후보 생성,6,개별 씬 실패 시 해당 씬만 재생성
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),6,씬 검토/선택,사용자,각 씬 후보 중 선택 + 필요시 재생성,/projects/:id/scenes,씬 후보 목록,확정된 씬 세트,7,재생성 3회 초과 시 프롬프트 수동 편집 유도
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),7,편집 설정,사용자,"자막 스타일 + TTS 음성 + 트랜지션 설정",/projects/:id/edit,확정된 씬 + 대본,프리뷰 영상 재생,8,TTS 생성 실패 시 다른 음성으로 재시도
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),8,프리뷰 확인,사용자,프리뷰 영상 시청 후 만족 여부 확인,/projects/:id/edit,프리뷰 영상,렌더링 진행 결정,9,"불만족 시 step 3-7 중 원하는 단계로 복귀"
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),9,렌더링,시스템,FFmpeg 최종 렌더링 (Worker 서버),/projects/:id/export,확정 씬 + 오디오 + 자막,렌더링 진행률 표시,10,렌더링 실패 시 자동 1회 재시도 → 수동 재시도 옵션
UF01,신규 프로젝트 생성 → 영상 내보내기 (Happy Path),10,다운로드,사용자,완성 영상 다운로드,/projects/:id/export,렌더링 완료 영상,MP4 파일 다운로드 완료,END,다운로드 URL 만료 시 재렌더링 안내

UF02,URL 기반 대본 생성,1,프로젝트 생성,사용자,프로젝트 생성 (기존 콘텐츠 기반),/projects/new,콘텐츠 타입 선택,프로젝트 생성,2,
UF02,URL 기반 대본 생성,2,소스 입력,사용자,URL 또는 텍스트 대본 붙여넣기,/projects/:id/script,YouTube URL / 블로그 URL / 텍스트,소스 콘텐츠 분석 시작,3,URL 접근 불가 시 텍스트 직접 입력 유도
UF02,URL 기반 대본 생성,3,분석 결과 확인,사용자,원본 콘텐츠 요약 + 리라이팅 대본 확인,/projects/:id/script,분석된 원본 + AI 리라이팅 대본,대본 확정,4→UF01.step4,원본 저작권 경고 표시 (참고용 안내)

UF03,배치 생성,1,주제 목록 입력,사용자,여러 주제를 한번에 입력 (줄바꿈 구분),/projects/batch,"주제 5개, 공통 스타일/타입",배치 프로젝트 5개 생성,2,주제 수 제한 초과 시 안내 (Free: 3개/Pro: 10개)
UF03,배치 생성,2,공통 설정,사용자,스타일/음성/자막 공통 설정,/projects/batch,스타일 프리셋 + 음성 설정,설정 완료,3,
UF03,배치 생성,3,순차 생성,시스템,큐에 등록 후 순차 처리,대시보드,5개 프로젝트,각 프로젝트 상태 실시간 업데이트,4,개별 프로젝트 실패 시 해당 건만 재시도
UF03,배치 생성,4,일괄 다운로드,사용자,완성된 영상 일괄 다운로드,대시보드,완성 영상 5개,ZIP 다운로드,END,
